"Timestamp","Scope","Pid(s)","CPU_Percent","WorkingSet_MB","Private_MB","Threads","Handles"
"2025-08-20T00:01:51","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38172;38208;38408;39488;39816","4.884","9947.66","9617.97","1741","31660"
"2025-08-20T00:01:52","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38172;38208;38408;39488;39816","4.909","9956.42","9626.39","1742","31665"
"2025-08-20T00:01:53","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38172;38208;38408;39488;39816","4.862","9959.14","9629.23","1744","31665"
"2025-08-20T00:01:54","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38172;38208;38408;39488;39816","4.923","9963.69","9638.52","1744","31658"
"2025-08-20T00:01:55","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38172;38208;38408;39488;39816","4.927","9960.08","9634.66","1744","31658"
"2025-08-20T00:01:56","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38172;38208;38408;39488;39816","4.802","9967.73","9641.67","1744","31656"
"2025-08-20T00:01:57","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38172;38208;38408;39488;39816","4.94","9968.38","9642.44","1744","31656"
"2025-08-20T00:01:58","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38172;38208;38408;39488;39816","4.89","9966.42","9640.7","1744","31658"
"2025-08-20T00:02:01","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;38172;38208;38408;39488;39816","4.927","9817.66","9544.07","1697","30737"
"2025-08-20T00:02:03","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;38172;38208;38408;39488;39816","4.884","9826.14","9554.54","1697","30740"
"2025-08-20T00:02:04","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;16908;18112;18248;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;38172;38208;38408;39488;39816","4.929","9918.46","9633.84","1709","31059"
"2025-08-20T00:02:05","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;16908;18112;18248;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;38172;38208;38408;39488;39816","9.812","9910.61","9622.09","1709","31075"
